code_codice;uic;bahnhof_gare_stazione;kt_ct_cantone;isb_gi;jahr_annee_anno;dtv_tjm_tgm;dwv_tmjo_tfm;dnwv_tmjno_tmgnl;evu_ef_itf;bemerkungen;remarques;note;remarks;lod;geopos
AA;8502113.0;Aarau;AG;SBB;2018;37900.0;44800.0;22700.0;SBB;Ohne AVA.;Sans AVA.;Senza AVA.;Without AVA.;http://lod.opentransportdata.swiss/didok/didok85;47.39135951416977, 8.051273718700699
AA;8502113.0;Aarau;AG;SBB;2023;37700.0;43400.0;24700.0;SBB, SOB;Ohne AVA.;Sans AVA.;Senza AVA.;Without AVA.;http://lod.opentransportdata.swiss/didok/didok85;47.39135951416977, 8.051273718700699
AA;8502113.0;Aarau;AG;SBB;2024;39000.0;45300.0;24800.0;SBB, SOB;Ohne AVA.;Sans AVA.;Senza AVA.;Without AVA.;http://lod.opentransportdata.swiss/didok/didok85;47.39135951416977, 8.051273718700699
AA;8502113.0;Aarau;AG;SBB;2025;40100.0;46600.0;25700.0;SBB, SOB;Ohne AVA.;Sans AVA.;Senza AVA.;Without AVA.;http://lod.opentransportdata.swiss/didok/didok85;47.39135951416977, 8.051273718700699
AAT;8503124.0;Aathal;ZH;SBB;2022;690.0;750.0;570.0;SBB;;;;;http://lod.opentransportdata.swiss/didok/didok85;47.3359591338364, 8.765625135347072
AB;8507472.0;Ausserberg;VS;BLS;2025;180.0;170.0;210.0;BLS;;;;;http://lod.opentransportdata.swiss/didok/didok85;46.31234824494208, 7.8441670280993065
ABE;8504404.0;Aarberg;BE;SBB;2022;520.0;580.0;400.0;BLS;;;;;http://lod.opentransportdata.swiss/didok/didok85;47.04454127724739, 7.278692565659158
ABO;8502000.0;Aarburg-Oftringen;AG;SBB;2025;2500.0;3000.0;1400.0;SBB, SOB;;;;;http://lod.opentransportdata.swiss/didok/didok85;47.320268469495055, 7.908222606719322
ACLA;8505180.0;Acla da Fontauna;GR;MGB;2022;140.0;140.0;140.0;MGB;;;;;http://lod.opentransportdata.swiss/didok/didok85;46.69717382256163, 8.8457908504282
ACLA;8505180.0;Acla da Fontauna;GR;MGB;2023;140.0;150.0;130.0;MGB;;;;;http://lod.opentransportdata.swiss/didok/didok85;46.69717382256163, 8.8457908504282
AD;8506013.0;Aadorf;TG;SBB;2018;1700.0;2000.0;1000.0;SBB, Thurbo;Durchschnittswert 2018 durch Streckensperrung beeinträchtigt.;Valeur moyenne 2018 à la baisse en raison de l’interdiction de tronçon.;Valore medio 2018 compromesso dallo sbarramento di tratta.;Average value for 2018 impacted by line closure.;http://lod.opentransportdata.swiss/didok/didok85;47.48811815646303, 8.903301351691383
AD;8506013.0;Aadorf;TG;SBB;2022;1500.0;1700.0;1100.0;SBB, Thurbo;;;;;http://lod.opentransportdata.swiss/didok/didok85;47.48811815646303, 8.903301351691383
ADF;8508316.0;Alpnach Dorf;OW;ZB;2023;1400.0;1600.0;950.0;Zentralbahn;;;;;http://lod.opentransportdata.swiss/didok/didok85;46.94059064828779, 8.27534492811314
ADF;8508316.0;Alpnach Dorf;OW;ZB;2024;1500.0;1800.0;1000.0;Zentralbahn;;;;;http://lod.opentransportdata.swiss/didok/didok85;46.94059064828779, 8.27534492811314
AEF;8508085.0;Aefligen;BE;BLS;2024;410.0;480.0;270.0;BLS;;;;;http://lod.opentransportdata.swiss/didok/didok85;47.0955935107256, 7.559253217679386
AF;8502224.0;Affoltern am Albis;ZH;SBB;2018;6800.0;8100.0;4000.0;SBB;;;;;http://lod.opentransportdata.swiss/didok/didok85;47.2760703624343, 8.446594995016907
AF;8502224.0;Affoltern am Albis;ZH;SBB;2022;6400.0;7300.0;4100.0;SBB;;;;;http://lod.opentransportdata.swiss/didok/didok85;47.2760703624343, 8.446594995016907
AF;8502224.0;Affoltern am Albis;ZH;SBB;2024;7200.0;8300.0;4700.0;SBB;;;;;http://lod.opentransportdata.swiss/didok/didok85;47.2760703624343, 8.446594995016907
AI;8505201.0;Airolo;TI;SBB;2024;530.0;500.0;610.0;SBB, SOB;;;;;http://lod.opentransportdata.swiss/didok/didok85;46.52752595779199, 8.608619755602403
AIG;8501400.0;Aigle;VD;SBB;2024;11200.0;11900.0;9400.0;RegionAlps, SBB;Ohne TPC.;Sans TPC.;Senza TPC.;Without TPC.;http://lod.opentransportdata.swiss/didok/didok85;46.316855418598124, 6.963683211861402
ALD;8508321.0;Luzern Allmend/Messe;LU;ZB;2023;2400.0;2200.0;2700.0;Zentralbahn;;;;;http://lod.opentransportdata.swiss/didok/didok85;47.03506817990225, 8.30323743965895
ALGR;8509357.0;Alp Grüm;GR;RhB;2022;580.0;570.0;600.0;RhB;;;;;http://lod.opentransportdata.swiss/didok/didok85;46.374506776243244, 10.031235326637933
ALGR;8509357.0;Alp Grüm;GR;RhB;2024;760.0;730.0;820.0;RhB;;;;;http://lod.opentransportdata.swiss/didok/didok85;46.374506776243244, 10.031235326637933
ALL;8501035.0;Allaman;VD;SBB;2024;5200.0;6200.0;3100.0;SBB;;;;;http://lod.opentransportdata.swiss/didok/didok85;46.47575352079991, 6.399697079747334
ALL;8501035.0;Allaman;VD;SBB;2025;4900.0;5700.0;3000.0;SBB;;;;;http://lod.opentransportdata.swiss/didok/didok85;46.47575352079991, 6.399697079747334
ALLI;8501378.0;Allières;FR;MOB;2022;60.0;49.0;110.0;MOB;49: weniger als 50 Ein- und Aussteigende.;49: moins de 50 personnes.;49: meno di 50 persone.;49: fewer than 50 persons.;http://lod.opentransportdata.swiss/didok/didok85;46.46981999615583, 7.007889997112573
ALN;8506125.0;Altnau;TG;SBB;2018;370.0;380.0;330.0;Thurbo;;;;;http://lod.opentransportdata.swiss/didok/didok85;47.62136793230426, 9.265917958555868
ALT;8506319.0;Altstätten SG;SG;SBB;2018;2300.0;2700.0;1500.0;SBB, SOB, Thurbo;;;;;http://lod.opentransportdata.swiss/didok/didok85;47.374234807062635, 9.556519883564428
ALTD;8503211.0;Altendorf;SZ;SBB;2022;670.0;740.0;510.0;SBB, SOB;;;;;http://lod.opentransportdata.swiss/didok/didok85;47.19396706593207, 8.822905848209773
ALV;8509194.0;Alvaneu;GR;RhB;2023;49.0;49.0;49.0;RhB;49: weniger als 50 Ein- und Aussteigende.;49: moins de 50 personnes.;49: meno di 50 persone.;49: fewer than 50 persons.;http://lod.opentransportdata.swiss/didok/didok85;46.671061965849795, 9.65136566565058
AND;8505165.0;Andermatt;UR;MGB;2023;3100.0;2900.0;3700.0;MGB;;;;;http://lod.opentransportdata.swiss/didok/didok85;46.636890087679205, 8.593280416936754
AP;8505202.0;Ambrì-Piotta;TI;SBB;2018;120.0;130.0;110.0;SBB;;;;;http://lod.opentransportdata.swiss/didok/didok85;46.51076379041375, 8.689927898844136
ARB;8506308.0;Arbon;TG;SBB;2025;2100.0;2300.0;1500.0;Thurbo;;;;;http://lod.opentransportdata.swiss/didok/didok85;47.510587732978976, 9.433358582621896
ARBS;8516270.0;Arbon Seemoosriet;TG;SBB;2022;440.0;470.0;360.0;Thurbo;;;;;http://lod.opentransportdata.swiss/didok/didok85;47.52119525824644, 9.425019519186609
ARD;8501505.0;Ardon;VS;SBB;2018;530.0;660.0;250.0;RegionAlps;;;;;http://lod.opentransportdata.swiss/didok/didok85;46.20859416924087, 7.270946771764377
AROS;8509157.0;Arosa;GR;RhB;2024;1700.0;1500.0;2100.0;RhB;;;;;http://lod.opentransportdata.swiss/didok/didok85;46.78392353019383, 9.67945480097753
AST;8508317.0;Alpnachstad;OW;ZB;2022;620.0;570.0;740.0;Zentralbahn;Ohne PB.;Sans PB.;Senza PB.;Without PB.;http://lod.opentransportdata.swiss/didok/didok85;46.9550415274341, 8.277848272022256
AST;8508317.0;Alpnachstad;OW;ZB;2024;800.0;820.0;780.0;Zentralbahn;Ohne PB.;Sans PB.;Senza PB.;Without PB.;http://lod.opentransportdata.swiss/didok/didok85;46.9550415274341, 8.277848272022256
AST;8508317.0;Alpnachstad;OW;ZB;2025;780.0;750.0;840.0;Zentralbahn;Ohne PB.;Sans PB.;Senza PB.;Without PB.;http://lod.opentransportdata.swiss/didok/didok85;46.9550415274341, 8.277848272022256
ATOS;8530801.0;Aareschlucht Ost (Bahn);BE;ZB;2023;230.0;190.0;330.0;Zentralbahn;;;;;http://lod.opentransportdata.swiss/didok/didok85;46.71200007733443, 8.217895203012437
AU;8503205.0;Au ZH;ZH;SBB;2024;1000.0;1100.0;760.0;SBB, SOB;;;;;http://lod.opentransportdata.swiss/didok/didok85;47.2468179444234, 8.643725909034172
AUSG;8506316.0;Au SG;SG;SBB;2018;350.0;400.0;240.0;SOB, Thurbo;;;;;http://lod.opentransportdata.swiss/didok/didok85;47.436115820448194, 9.641259107516396
AUSG;8506316.0;Au SG;SG;SBB;2024;470.0;530.0;320.0;SOB, Thurbo;;;;;http://lod.opentransportdata.swiss/didok/didok85;47.436115820448194, 9.641259107516396
AUSG;8506316.0;Au SG;SG;SBB;2025;450.0;510.0;320.0;SOB, Thurbo;;;;;http://lod.opentransportdata.swiss/didok/didok85;47.436115820448194, 9.641259107516396
AV;8504126.0;Avenches;VD;SBB;2018;700.0;820.0;420.0;BLS, SBB;;;;;http://lod.opentransportdata.swiss/didok/didok85;46.88460159766171, 7.0409253236567135
AVA;8501377.0;Les Avants;VD;MOB;2022;350.0;330.0;380.0;MOB;;;;;http://lod.opentransportdata.swiss/didok/didok85;46.45362569370287, 6.943474544650809
AW;8506109.0;Amriswil;TG;SBB;2024;3200.0;3500.0;2500.0;SBB, Thurbo;;;;;http://lod.opentransportdata.swiss/didok/didok85;47.550449721216765, 9.30222720092554
AX;8501107.0;Arnex;VD;SBB;2022;200.0;240.0;110.0;SBB;;;;;http://lod.opentransportdata.swiss/didok/didok85;46.6980776528438, 6.51890716328841
AX;8501107.0;Arnex;VD;SBB;2025;590.0;710.0;340.0;SBB;;;;;http://lod.opentransportdata.swiss/didok/didok85;46.6980776528438, 6.51890716328841
BAA;8502206.0;Baar;ZG;SBB;2023;8700.0;10100.0;5400.0;SBB, SOB;;;;;http://lod.opentransportdata.swiss/didok/didok85;47.19536403756802, 8.523271537389258
BAE;8503208.0;Bäch SZ;SZ;SBB;2025;480.0;540.0;350.0;SBB, SOB;;;;;http://lod.opentransportdata.swiss/didok/didok85;47.200981641925814, 8.727174268610481
BAZ;8506205.0;Bazenheid;SG;SBB;2023;1100.0;1200.0;710.0;Thurbo;;;;;http://lod.opentransportdata.swiss/didok/didok85;47.410126537340275, 9.069059802452417
BAZ;8506205.0;Bazenheid;SG;SBB;2025;1100.0;1300.0;740.0;Thurbo;;;;;http://lod.opentransportdata.swiss/didok/didok85;47.410126537340275, 9.069059802452417
BCT;8500128.0;Boncourt;JU;SBB;2023;240.0;290.0;130.0;SBB;;;;;http://lod.opentransportdata.swiss/didok/didok85;47.49263186836306, 7.016551752254877
BCT;8500128.0;Boncourt;JU;SBB;2025;190.0;220.0;120.0;SBB;;;;;http://lod.opentransportdata.swiss/didok/didok85;47.49263186836306, 7.016551752254877
BD;8503504.0;Baden;AG;SBB;2024;33000.0;37200.0;23500.0;SBB;;;;;http://lod.opentransportdata.swiss/didok/didok85;47.476424284622105, 8.307709474036757
BDF;8508005.0;Burgdorf;BE;SBB;2025;16000.0;18100.0;11200.0;BLS, SBB, SOB;;;;;http://lod.opentransportdata.swiss/didok/didok85;47.060700726390664, 7.621694473552611
BDFB;8508083.0;Burgdorf Buchmatt;BE;BLS;2024;210.0;260.0;90.0;BLS;;;;;http://lod.opentransportdata.swiss/didok/didok85;47.06545797083619, 7.608275974819251
BDFS;8508081.0;Burgdorf Steinhof;BE;BLS;2024;1600.0;1900.0;930.0;BLS;;;;;http://lod.opentransportdata.swiss/didok/didok85;47.05119989376763, 7.6195394294912155
BDR;8504208.0;Boudry;NE;SBB;2024;370.0;420.0;260.0;SBB;;;;;http://lod.opentransportdata.swiss/didok/didok85;46.95945708722832, 6.835047623990482
BDR;8504208.0;Boudry;NE;SBB;2025;470.0;530.0;340.0;SBB;;;;;http://lod.opentransportdata.swiss/didok/didok85;46.95945708722832, 6.835047623990482
BEDI;8519370.0;Bernina Diavolezza;GR;RhB;2022;310.0;310.0;300.0;RhB;;;;;http://lod.opentransportdata.swiss/didok/didok85;46.44174346387519, 9.982275309697107
BEL;8505213.0;Bellinzona;TI;SBB;2024;18600.0;19900.0;15600.0;SBB, SOB;;;;;http://lod.opentransportdata.swiss/didok/didok85;46.195431792205746, 9.02951851227292
BEL;8505213.0;Bellinzona;TI;SBB;2025;20700.0;21900.0;17900.0;SBB, SOB;;;;;http://lod.opentransportdata.swiss/didok/didok85;46.195431792205746, 9.02951851227292
